Metadata
    Sounding ID                                  	5833cd99-4c7b-425a-82a5-c9a2e01f9c7f
    Release point latitude                       	40.121220°N
    Release point longitude                      	113.128677°W
    Release point height from sea level          	1315 m
    Balloon release date and time                	2017-11-01T10:02:04
    Balloon release time                         	10:02:04
    Balloon release date                         	01/11/17
    Surface pressure                             	863.89 hPa
    Surface temperature                          	-0.10 °C
    Surface relative humidity                    	59.00 %
    Surface wind speed                           	0.70 m/s
    Surface wind direction                       	109.00°
    Sonde type                                   	RS41-SGP
    Sonde serial number                          	N1540116
    System trademark and model                   	MW41
    Software version                             	MW41 2.5.0
    Sonde software version                       	2.2.13
    Comments                                     	20 cu. ft., clear and calm, operator: Isabel
    STD level heights                            	53, 738, 1450, 3049, 5708, 7387, 9420, 10632, 12053
    P correction (Pref - P)                      	0.31 hPa
    U correction (Uref1 - U1)                    	0.17 %Rh
    T difference (Tu - T)                        	0.18 °C 
    T in-built check air temperature             	17.31 °C
    Tu temperature                               	17.48 °C
    RS41 calculation version                     	1.3
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	P Sensor
    Station name                                 	IDEAL_ISS2
    Reason for termination                       	ManualStop
    Terminating altitude                         	12496 m
    Average ascent rate                          	3.6 m/s
    T difference (Tu - T)                        	0.18 °C 
    P correction (Pref - P)                      	0.31 hPa
    U correction (Uref1 - U1)                    	0.17 %Rh
    Tracked satellite average count              	11.8
    Surface pressure                             	863.70 hPa
    Surface temperature                          	-0.10 °C
    Surface humidity                             	59.00 %Rh
    Surface wind direction                       	109.00°
    Surface wind speed                           	0.70 m/s
    STD level heights                            	53, 738, 1450, 3049, 5708, 7387, 9420, 10632, 12053
    T temperature                                	17.31 °C
    P pressure                                   	863.43 hPa
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	863.74 hPa
    Tref temperature                             	/////
    Uref humidity                                	Desiccant 0 %Rh
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,     P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,   Pc,      Lat,        Lon, VirT,PotTemp,          KeyFlags
           s,        m,   hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,  hPa,        °,          °,   °C,     °C,                  
           0,     1315,863.89, -0.1,59.00, -7.1,109.0,  0.7,        1315,    0.0,99999,40.121220,-113.128677,  0.3,   11.6,TUdfv             
           1,     1318,863.55,  0.4,58.88, -6.7,171.0,  0.9,        1319,    3.9,99999,40.121158,-113.128721,  0.9,   12.2,                  
           2,     1324,862.97,  2.4,55.85, -5.5,183.5,  1.3,        1324,    5.4,99999,40.121151,-113.128744,  2.9,   14.3,                  
           3,     1328,862.53,  4.5,52.17, -4.4,185.8,  1.5,        1330,    4.1,99999,40.121166,-113.128750,  5.1,   16.6,                  
           4,     1333,861.97,  5.6,48.43, -4.4,185.2,  1.6,        1335,    5.3,99999,40.121183,-113.128741,  6.1,   17.7,T                 
           5,     1338,861.40,  5.9,46.34, -4.7,183.9,  1.7,        1341,    5.3,99999,40.121192,-113.128731,  6.4,   18.1,                  
           6,     1344,860.87,  6.3,45.63, -4.6,182.7,  1.9,        1346,    5.1,99999,40.121205,-113.128731,  6.8,   18.5,                  
           7,     1348,860.43,  6.7,45.18, -4.3,181.6,  2.0,        1351,    4.0,99999,40.121231,-113.128735,  7.3,   19.0,                  
           8,     1352,859.92,  7.0,44.61, -4.2,180.5,  2.2,        1356,    4.8,99999,40.121266,-113.128722,  7.6,   19.4,                  
           9,     1357,859.40,  7.3,43.90, -4.2,179.4,  2.4,        1362,    4.5,99999,40.121294,-113.128686,  7.8,   19.8,                  
          10,     1362,858.89,  8.1,43.13, -3.6,178.3,  2.6,        1368,    5.0,99999,40.121305,-113.128650,  8.7,   20.7,                  
          11,     1368,858.37,  8.7,42.21, -3.4,177.1,  2.8,        1373,    6.6,99999,40.121313,-113.128639,  9.3,   21.4,TU                
          12,     1373,857.85,  8.8,41.61, -3.5,175.9,  2.9,        1378,    4.8,99999,40.121334,-113.128650,  9.4,   21.5,                  
          13,     1378,857.33,  8.8,41.58, -3.5,174.7,  3.1,        1383,    4.5,99999,40.121372,-113.128660,  9.4,   21.6,                  
          14,     1382,856.82,  8.8,41.77, -3.5,173.5,  3.3,        1388,    3.9,99999,40.121412,-113.128651,  9.4,   21.6,                  
          15,     1388,856.30,  8.8,41.96, -3.4,172.3,  3.6,        1393,    6.1,99999,40.121440,-113.128634,  9.4,   21.7,                  
          16,     1392,855.77,  8.9,42.05, -3.3,171.1,  3.8,        1398,    4.4,99999,40.121458,-113.128627,  9.5,   21.8,                  
          17,     1396,855.23,  8.9,42.09, -3.3,169.9,  4.0,        1402,    4.2,99999,40.121478,-113.128639,  9.5,   21.8,                  
          18,     1403,854.67,  8.9,42.16, -3.3,168.8,  4.2,        1407,    6.7,99999,40.121510,-113.128656,  9.5,   21.9,T                 
          19,     1408,854.10,  8.9,42.22, -3.3,167.7,  4.4,        1412,    5.0,99999,40.121552,-113.128667,  9.5,   21.9,                  
          20,     1414,853.52,  8.8,42.31, -3.3,166.7,  4.7,        1417,    6.2,99999,40.121599,-113.128681,  9.4,   21.9,                  
          21,     1420,852.93,  8.8,42.49, -3.2,165.7,  4.9,        1422,    5.4,99999,40.121642,-113.128703,  9.4,   22.0,                  
          22,     1426,852.34,  8.8,42.67, -3.2,164.8,  5.1,        1428,    6.3,99999,40.121677,-113.128734,  9.4,   22.0,  d v             
          23,     1431,851.74,  8.7,42.81, -3.2,163.9,  5.3,        1434,    5.3,99999,40.121709,-113.128765,  9.3,   22.0,                  
          24,     1437,851.14,  8.7,42.98, -3.2,163.1,  5.6,        1440,    6.1,99999,40.121749,-113.128783,  9.3,   22.1,                  
          25,     1444,850.55,  8.7,43.11, -3.1,162.4,  5.8,        1446,    7.1,99999,40.121799,-113.128787,  9.3,   22.1,                  
          26,     1450,849.98,  8.8,43.18, -3.0,161.8,  6.0,        1451,    5.4,99999,40.121860,-113.128784,  9.4,   22.3,                  
          27,     1455,849.42,  8.9,43.10, -2.9,161.2,  6.2,        1456,    5.1,99999,40.121929,-113.128791,  9.5,   22.4,                  
          28,     1460,848.87,  9.1,42.99, -2.8,160.7,  6.4,        1461,    4.8,99999,40.121996,-113.128817,  9.7,   22.7,                  
          29,     1466,848.34,  9.2,42.84, -2.8,160.2,  6.5,        1467,    6.6,99999,40.122056,-113.128862,  9.8,   22.8,                  
          30,     1470,847.82,  9.2,42.69, -2.8,159.9,  6.7,        1472,    3.5,99999,40.122117,-113.128919,  9.8,   22.9,                  
          31,     1474,847.30,  9.2,42.65, -2.8,159.5,  6.8,        1476,    4.3,99999,40.122188,-113.128974,  9.9,   23.0,                  
          32,     1479,846.77,  9.3,42.63, -2.7,159.3,  6.9,        1481,    4.8,99999,40.122265,-113.129022,  9.9,   23.1,                  
          33,     1484,846.23,  9.4,42.57, -2.7,159.1,  7.0,        1487,    5.1,99999,40.122337,-113.129063, 10.0,   23.2,                  
          34,     1491,845.68,  9.5,42.48, -2.6,158.9,  7.1,        1492,    7.0,99999,40.122398,-113.129102, 10.1,   23.4,                  
          35,     1496,845.12,  9.5,42.42, -2.6,158.8,  7.2,        1498,    5.0,99999,40.122452,-113.129142, 10.2,   23.5,                  
          36,     1502,844.55,  9.5,42.46, -2.6,158.7,  7.2,        1503,    6.1,99999,40.122510,-113.129190, 10.1,   23.5,                  
          37,     1508,843.99,  9.5,42.54, -2.6,158.7,  7.2,        1508,    6.4,99999,40.122583,-113.129244, 10.1,   23.6,                  
          38,     1514,843.43,  9.5,42.50, -2.6,158.8,  7.2,        1514,    5.1,99999,40.122671,-113.129300, 10.1,   23.6,                  
          39,     1518,842.87,  9.4,42.20, -2.8,158.8,  7.2,        1519,    4.2,99999,40.122768,-113.129353, 10.1,   23.6,T                 
          40,     1524,842.32,  9.6,41.44, -2.8,158.9,  7.1,        1525,    5.9,99999,40.122861,-113.129398, 10.2,   23.9,                  
          41,     1529,841.78, 10.3,40.17, -2.7,159.1,  7.1,        1530,    5.7,99999,40.122940,-113.129436, 10.9,   24.6,                  
          42,     1535,841.23, 10.8,38.95, -2.6,159.2,  7.0,        1536,    5.2,99999,40.123003,-113.129467, 11.4,   25.2,                  
          43,     1540,840.69, 10.9,38.31, -2.7,159.4,  6.9,        1541,    5.8,99999,40.123053,-113.129494, 11.5,   25.4,  d v             
          44,     1545,840.16, 10.9,38.08, -2.8,159.7,  6.8,        1547,    5.2,99999,40.123098,-113.129519, 11.5,   25.4,                  
          45,     1550,839.64, 11.0,37.86, -2.8,159.9,  6.7,        1552,    4.3,99999,40.123148,-113.129542, 11.6,   25.6,                  
          46,     1557,839.13, 11.0,37.60, -2.9,160.2,  6.5,        1557,    7.0,99999,40.123207,-113.129563, 11.7,   25.7,                  
          47,     1561,838.63, 11.1,37.37, -2.9,160.6,  6.4,        1562,    4.7,99999,40.123276,-113.129583, 11.7,   25.8,                  
          48,     1566,838.14, 11.1,37.27, -2.9,160.9,  6.2,        1567,    4.3,99999,40.123346,-113.129600, 11.8,   25.9,T                 
