Metadata
    Sounding ID                                  	42db1d8b-a758-4663-884d-1ada59ffb5ac
    Release point latitude                       	40.121220°N
    Release point longitude                      	113.128677°W
    Release point height from sea level          	1315 m
    Balloon release date and time                	2017-11-01T11:03:36
    Balloon release time                         	11:03:36
    Balloon release date                         	01/11/17
    Surface pressure                             	863.49 hPa
    Surface temperature                          	0.30 °C
    Surface relative humidity                    	62.00 %
    Surface wind speed                           	1.40 m/s
    Surface wind direction                       	115.00°
    Sonde type                                   	RS41-SGP
    Sonde serial number                          	N1540068
    System trademark and model                   	MW41
    Software version                             	MW41 2.5.0
    Sonde software version                       	2.2.13
    Comments                                     	20 cu. ft., clear and calm, operator: Isabel
    STD level heights                            	49, 734, 1445, 3048, 5706, 7383, 9419
    P correction (Pref - P)                      	0.49 hPa
    U correction (Uref1 - U1)                    	0.19 %Rh
    T difference (Tu - T)                        	-0.82 °C 
    T in-built check air temperature             	19.87 °C
    Tu temperature                               	19.05 °C
    RS41 calculation version                     	1.3
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	P Sensor
    Station name                                 	IDEAL_ISS2
    Reason for termination                       	ManualStop
    Terminating altitude                         	9937 m
    Average ascent rate                          	3.3 m/s
    T difference (Tu - T)                        	-0.82 °C 
    P correction (Pref - P)                      	0.49 hPa
    U correction (Uref1 - U1)                    	0.19 %Rh
    Tracked satellite average count              	9.5
    Surface pressure                             	863.30 hPa
    Surface temperature                          	0.30 °C
    Surface humidity                             	62.00 %Rh
    Surface wind direction                       	115.00°
    Surface wind speed                           	1.40 m/s
    STD level heights                            	49, 734, 1445, 3048, 5706, 7383, 9419
    T temperature                                	19.87 °C
    P pressure                                   	862.75 hPa
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	863.24 hPa
    Tref temperature                             	/////
    Uref humidity                                	Desiccant 0 %Rh
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,     P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,   Pc,      Lat,        Lon, VirT,PotTemp,          KeyFlags
           s,        m,   hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,  hPa,        °,          °,   °C,     °C,                  
           0,     1315,863.49,  0.3,62.00, -6.1,115.0,  1.4,        1315,    0.0,99999,40.121220,-113.128677,  0.8,   12.1,TUdfv             
           1,     1318,863.20,  1.6,61.31, -5.1,156.5,  0.9,        1322,    2.2,99999,40.121121,-113.128745,  2.1,   13.4,                  
           2,     1323,862.60,  2.3,60.18, -4.6,166.1,  1.0,        1326,    5.6,99999,40.121125,-113.128776,  2.8,   14.2,                  
           3,     1329,861.96,  3.7,57.15, -4.0,168.6,  1.1,        1332,    5.9,99999,40.121154,-113.128806,  4.3,   15.8,                  
           4,     1337,861.19,  5.2,52.47, -3.8,168.6,  1.2,        1338,    7.4,99999,40.121187,-113.128825,  5.7,   17.4,                  
           5,     1342,860.63,  6.3,48.22, -3.8,168.3,  1.3,        1345,    5.3,99999,40.121207,-113.128828,  6.9,   18.6,T                 
           6,     1348,860.08,  6.9,45.90, -3.9,168.3,  1.4,        1351,    5.6,99999,40.121215,-113.128830,  7.5,   19.3,                  
           7,     1354,859.50,  7.0,45.22, -4.0,168.5,  1.5,        1358,    6.2,99999,40.121229,-113.128846,  7.6,   19.5,                  
           8,     1358,858.93,  7.1,45.30, -3.9,168.6,  1.6,        1364,    4.1,99999,40.121257,-113.128874,  7.7,   19.6,                  
           9,     1364,858.35,  7.1,45.61, -3.8,168.6,  1.7,        1369,    6.5,99999,40.121287,-113.128894,  7.7,   19.7,                  
          10,     1370,857.79,  7.2,45.92, -3.7,168.5,  1.8,        1375,    5.2,99999,40.121307,-113.128887,  7.8,   19.8,                  
          11,     1373,857.21,  7.2,46.04, -3.6,168.2,  1.9,        1380,    3.6,99999,40.121318,-113.128852,  7.8,   19.9,                  
          12,     1379,856.62,  7.4,45.85, -3.5,167.9,  2.0,        1385,    5.7,99999,40.121329,-113.128807,  8.0,   20.1,                  
          13,     1385,856.01,  7.7,45.17, -3.4,167.5,  2.1,        1392,    6.5,99999,40.121344,-113.128774,  8.3,   20.5,                  
