Metadata
    Sounding ID                                  	d2caa888-21c1-4360-bf28-cbb7d4162796
    Release point latitude                       	40.121220°N
    Release point longitude                      	113.128677°W
    Release point height from sea level          	1315 m
    Balloon release date and time                	2017-11-01T11:58:25
    Balloon release time                         	11:58:25
    Balloon release date                         	01/11/17
    Surface pressure                             	862.99 hPa
    Surface temperature                          	1.00 °C
    Surface relative humidity                    	59.40 %
    Surface wind speed                           	1.40 m/s
    Surface wind direction                       	96.00°
    Sonde type                                   	RS41-SGP
    Sonde serial number                          	N1540069
    System trademark and model                   	MW41
    Software version                             	MW41 2.5.0
    Sonde software version                       	2.2.13
    Comments                                     	20 cu. ft., clear and calm, operator: Isabel
    STD level heights                            	42, 728, 1439, 3045, 5703, 7380, 9415, 10626, 12037
    P correction (Pref - P)                      	0.50 hPa
    U correction (Uref1 - U1)                    	0.23 %Rh
    T difference (Tu - T)                        	-1.25 °C 
    T in-built check air temperature             	26.95 °C
    Tu temperature                               	25.69 °C
    RS41 calculation version                     	1.3
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	P Sensor
    Station name                                 	IDEAL_ISS2
    Reason for termination                       	ManualStop
    Terminating altitude                         	11638 m
    Average ascent rate                          	3.4 m/s
    T difference (Tu - T)                        	-1.25 °C 
    P correction (Pref - P)                      	0.50 hPa
    U correction (Uref1 - U1)                    	0.23 %Rh
    Tracked satellite average count              	9.5
    Surface pressure                             	862.80 hPa
    Surface temperature                          	1.00 °C
    Surface humidity                             	59.40 %Rh
    Surface wind direction                       	96.00°
    Surface wind speed                           	1.40 m/s
    STD level heights                            	42, 728, 1439, 3045, 5703, 7380, 9415, 10626, 12037
    T temperature                                	26.95 °C
    P pressure                                   	862.37 hPa
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	862.87 hPa
    Tref temperature                             	/////
    Uref humidity                                	Desiccant 0 %Rh
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,     P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,   Pc,      Lat,        Lon, VirT,PotTemp,          KeyFlags
           s,        m,   hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,  hPa,        °,          °,   °C,     °C,                  
           0,     1315,862.99,  1.0,59.40, -6.0, 96.0,  1.4,        1315,    0.0,99999,40.121220,-113.128677,  1.5,   12.8,TUdfv             
           1,     1324,862.06,  2.8,60.00, -4.2,156.9,  3.3,        1323,    6.5,99999,40.121149,-113.128727,  3.4,   14.8,                  
           2,     1330,861.45,  4.2,58.20, -3.2,159.5,  4.0,        1328,    5.7,99999,40.121181,-113.128747,  4.8,   16.4,                  
           3,     1334,860.98,  5.2,55.58, -3.0,159.7,  4.4,        1333,    4.4,99999,40.121242,-113.128762,  5.8,   17.4,T                 
           4,     1339,860.43,  5.6,53.58, -3.1,159.3,  4.7,        1338,    5.3,99999,40.121315,-113.128777,  6.2,   17.9,                  
           5,     1344,859.91,  5.8,52.54, -3.1,158.8,  5.0,        1343,    4.9,99999,40.121380,-113.128796,  6.4,   18.2,  d v             
           6,     1351,859.15,  6.1,51.79, -3.1,158.4,  5.4,        1349,    7.1,99999,40.121427,-113.128828,  6.7,   18.5,                  
           7,     1357,858.56,  6.5,50.90, -3.0,158.2,  5.7,        1355,    5.9,99999,40.121456,-113.128870,  7.1,   19.0,                  
           8,     1365,857.97,  7.1,49.98, -2.6,158.0,  6.1,        1361,    7.5,99999,40.121482,-113.128903,  7.7,   19.7,                  
           9,     1371,857.39,  7.5,49.17, -2.5,157.8,  6.4,        1366,    6.0,99999,40.121523,-113.128908,  8.1,   20.1,T                 
          10,     1374,856.83,  7.5,48.68, -2.6,157.6,  6.8,        1371,    2.9,99999,40.121583,-113.128895,  8.2,   20.3,                  
          11,     1378,856.28,  7.6,48.44, -2.6,157.5,  7.1,        1376,    4.7,99999,40.121656,-113.128887,  8.2,   20.4,                  
          12,     1384,855.74,  7.8,48.09, -2.5,157.3,  7.5,        1383,    6.3,99999,40.121727,-113.128906,  8.4,   20.7,                  
          13,     1388,855.18,  8.1,47.54, -2.3,157.1,  7.8,        1388,    3.9,99999,40.121798,-113.128955,  8.8,   21.0,                  
