Metadata
    Sounding ID                                  	07eda6f5-17cd-4771-8561-4c38cc1aec3d
    Release point latitude                       	40.121220°N
    Release point longitude                      	113.128677°W
    Release point height from sea level          	1315 m
    Balloon release date and time                	2017-11-01T12:59:56
    Balloon release time                         	12:59:56
    Balloon release date                         	01/11/17
    Surface pressure                             	862.59 hPa
    Surface temperature                          	0.90 °C
    Surface relative humidity                    	60.10 %
    Surface wind speed                           	1.20 m/s
    Surface wind direction                       	72.00°
    Sonde type                                   	RS41-SGP
    Sonde serial number                          	N1540062
    System trademark and model                   	MW41
    Software version                             	MW41 2.5.0
    Sonde software version                       	2.2.13
    Comments                                     	20 cu. ft., clear and calm, operator: Isabel
    STD level heights                            	37, 724, 1436, 3042, 5701, 7376, 9409, 10621, 12037, 13810, 16295, 18441
    P correction (Pref - P)                      	0.56 hPa
    U correction (Uref1 - U1)                    	0.23 %Rh
    T difference (Tu - T)                        	0.24 °C 
    T in-built check air temperature             	19.12 °C
    Tu temperature                               	19.36 °C
    RS41 calculation version                     	1.3
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	P Sensor
    Station name                                 	IDEAL_ISS2
    Reason for termination                       	ManualStop
    Terminating altitude                         	18523 m
    Average ascent rate                          	3.6 m/s
    T difference (Tu - T)                        	0.24 °C 
    P correction (Pref - P)                      	0.56 hPa
    U correction (Uref1 - U1)                    	0.23 %Rh
    Tracked satellite average count              	9.2
    Surface pressure                             	862.40 hPa
    Surface temperature                          	0.90 °C
    Surface humidity                             	60.10 %Rh
    Surface wind direction                       	72.00°
    Surface wind speed                           	1.20 m/s
    STD level heights                            	37, 724, 1436, 3042, 5701, 7376, 9409, 10621, 12037, 13810, 16295, 18441
    T temperature                                	19.12 °C
    P pressure                                   	861.87 hPa
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	862.43 hPa
    Tref temperature                             	/////
    Uref humidity                                	Desiccant 0 %Rh
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,     P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,   Pc,      Lat,        Lon, VirT,PotTemp,          KeyFlags
           s,        m,   hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,  hPa,        °,          °,   °C,     °C,                  
           0,     1315,862.59,  0.9,60.10, -6.0, 72.0,  1.2,        1315,    0.0,99999,40.121220,-113.128677,  1.4,   12.8,TUdfv             
           1,     1319,862.16,  2.2,57.71, -5.2,131.2,  0.6,        1319,    6.2,99999,40.121134,-113.128736,  2.8,   14.2,                  
           2,     1326,861.39,  3.6,55.65, -4.4,167.6,  0.9,        1325,    7.2,99999,40.121108,-113.128770,  4.1,   15.7,T                 
           3,     1332,860.79,  4.3,54.09, -4.2,174.5,  1.2,        1331,    5.7,99999,40.121112,-113.128779,  4.8,   16.5,                  
           4,     1337,860.26,  4.6,52.79, -4.2,174.0,  1.3,        1337,    5.1,99999,40.121129,-113.128762,  5.2,   16.9,                  
           5,     1342,859.71,  5.0,51.57, -4.2,172.1,  1.5,        1342,    5.2,99999,40.121139,-113.128732,  5.5,   17.3,                  
           6,     1347,859.17,  5.5,49.92, -4.1,170.6,  1.7,        1347,    5.1,99999,40.121141,-113.128713,  6.1,   17.9,                  
           7,     1353,858.61,  6.7,47.71, -3.6,169.6,  1.9,        1351,    6.1,99999,40.121148,-113.128719,  7.3,   19.2,                  
           8,     1357,858.06,  7.5,45.76, -3.4,168.9,  2.1,        1356,    4.0,99999,40.121167,-113.128742,  8.1,   20.1,                  
           9,     1363,857.50,  7.7,44.91, -3.5,168.3,  2.3,        1361,    5.4,99999,40.121196,-113.128760,  8.3,   20.3,                  
          10,     1368,856.94,  7.7,45.03, -3.5,167.7,  2.5,        1367,    5.6,99999,40.121217,-113.128755,  8.3,   20.4,T                 
          11,     1374,856.37,  7.6,45.46, -3.4,167.1,  2.8,        1372,    5.9,99999,40.121218,-113.128738,  8.2,   20.4,                  
          12,     1379,855.80,  7.6,45.89, -3.3,166.6,  3.0,        1378,    4.8,99999,40.121209,-113.128729,  8.2,   20.4,                  
          13,     1385,855.22,  7.6,46.30, -3.2,166.0,  3.3,        1384,    6.1,99999,40.121216,-113.128729,  8.2,   20.4,                  
          14,     1392,854.64,  7.5,46.56, -3.2,165.5,  3.5,        1390,    6.4,99999,40.121252,-113.128723,  8.1,   20.5,                  
          15,     1396,854.06,  7.5,46.67, -3.2,165.1,  3.8,        1395,    4.5,99999,40.121310,-113.128709,  8.1,   20.5,                  
          16,     1402,853.47,  7.5,46.72, -3.2,164.6,  4.1,        1400,    5.7,99999,40.121366,-113.128701,  8.1,   20.5,                  
          17,     1407,852.87,  7.7,46.66, -2.9,164.2,  4.3,        1405,    5.5,99999,40.121406,-113.128721,  8.4,   20.9,                  
          18,     1414,852.27,  7.9,46.40, -2.9,163.9,  4.6,        1411,    6.4,99999,40.121431,-113.128774,  8.5,   21.1,                  
          19,     1418,851.64,  7.8,46.24, -3.0,163.6,  4.8,        1416,    4.3,99999,40.121455,-113.128845,  8.4,   21.0,                  
          20,     1424,851.00,  7.7,46.35, -3.1,163.3,  5.1,        1423,    6.5,99999,40.121493,-113.128904,  8.3,   21.0,  d v             
          21,     1433,850.35,  7.6,46.58, -3.1,163.0,  5.3,        1430,    8.3,99999,40.121544,-113.128927,  8.2,   20.9,                  
          22,     1438,849.69,  7.6,46.80, -3.0,162.8,  5.5,        1437,    5.7,99999,40.121597,-113.128913,  8.2,   21.0,                  
          23,     1446,849.03,  7.6,46.96, -3.0,162.7,  5.7,        1444,    7.5,99999,40.121643,-113.128883,  8.2,   21.1,                  
          24,     1452,848.37,  7.5,47.05, -3.0,162.6,  5.9,        1450,    6.5,99999,40.121682,-113.128867,  8.1,   21.1,                  
          25,     1458,847.71,  7.4,47.12, -3.1,162.6,  6.1,        1457,    5.9,99999,40.121726,-113.128882,  8.0,   21.1,                  
          26,     1464,847.05,  7.4,47.15, -3.2,162.6,  6.2,        1463,    5.8,99999,40.121790,-113.128925,  8.0,   21.1,T                 
          27,     1470,846.38,  7.4,47.04, -3.2,162.7,  6.4,        1469,    6.1,99999,40.121877,-113.128982,  8.0,   21.1,                  
          28,     1476,845.71,  7.5,46.37, -3.3,162.9,  6.5,        1475,    5.7,99999,40.121977,-113.129035,  8.1,   21.3,                  
          29,     1483,845.02,  8.1,44.75, -3.2,163.1,  6.6,        1482,    7.3,99999,40.122075,-113.129076,  8.7,   22.1,                  
          30,     1490,844.32,  9.0,42.31, -3.1,163.4,  6.6,        1490,    6.7,99999,40.122161,-113.129111,  9.7,   23.1,                  
          31,     1499,843.62,  9.7,39.57, -3.3,163.8,  6.7,        1497,    8.8,99999,40.122235,-113.129146, 10.3,   23.9,                  
          32,     1506,842.93, 10.6,36.93, -3.5,164.3,  6.7,        1504,    7.8,99999,40.122299,-113.129189, 11.2,   24.9,                  
          33,     1513,842.26, 11.3,34.94, -3.6,164.9,  6.7,        1511,    6.3,99999,40.122358,-113.129240, 11.9,   25.7,TU                
          34,     1519,841.61, 11.6,34.00, -3.7,165.6,  6.7,        1517,    6.2,99999,40.122413,-113.129296, 12.2,   26.1,                  
          35,     1525,840.99, 11.7,33.86, -3.7,166.4,  6.7,        1523,    5.7,99999,40.122469,-113.129350, 12.3,   26.2,  d v             
          36,     1531,840.40, 11.7,34.01, -3.6,167.3,  6.7,        1528,    6.3,99999,40.122532,-113.129398, 12.3,   26.3,                  
          37,     1536,839.82, 11.7,34.18, -3.6,168.4,  6.6,        1533,    4.8,99999,40.122600,-113.129425, 12.3,   26.3,                  
          38,     1542,839.26, 11.7,34.24, -3.6,169.6,  6.6,        1538,    5.9,99999,40.122669,-113.129425, 12.3,   26.4,                  
          39,     1547,838.72, 11.7,34.18, -3.5,170.9,  6.5,        1543,    5.3,99999,40.122728,-113.129404, 12.3,   26.5,                  
