Metadata
    Sounding ID                                  	9998a538-3402-4f95-8c62-7bee84b05541
    Release point latitude                       	40.037949°S
    Release point longitude                      	105.240997°W
    Release point height from sea level          	1609 m
    Balloon release date and time                	2017-04-12T20:38:50
    Surface pressure                             	839.9 hPa
    Surface temperature                          	21.3 °C
    Surface relative humidity                    	15.0 %
    Surface wind speed                           	1.9 m/s
    Surface wind direction                       	107.0°
    Sonde type                                   	RS41-SGP
    Sonde serial number                          	M3910683
    Software version                             	MW41 2.5.0
    Comments                                     	
    STD level heights                            	76, 771, 1507, 3136, 5781, 7427, 9420, 10610, 12005, 13760, 16281, 18495, 20590, 23800
    P correction (Pref - P)                      	0.90 hPa
    U correction (Uref1 - U1)                    	0.3 %Rh
    T difference (Tu - T)                        	0.46 °C 
    Tu temperature                               	22.8 °C
    RS41 calculation version                     	1.3
    Uref1 humidity                               	0 %Rh
    Height and pressure in messages is based on  	P Sensor
    Station name                                 	Boulder, NCAR EOL

Elapsed time,HeightMSL,     P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,   Pc,       Lat,        Lon
           s,        m,   hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,  hPa,         °,          °
           0,     1609,839.93, 21.3,15.00, -6.3,107.0,  1.9,        1609,    0.0,99999,-40.037949,-105.240997
           1,     1627,838.25, 20.6,15.75, -6.2,115.7,  1.8,        1622,   18.2,99999, 14.958439,-105.240049
           2,     1629,838.01, 20.5,16.17, -6.0,118.9,  1.9,        1625,    2.5,99999, 36.210147,-105.239690
           3,     1635,837.45, 20.3,16.42, -6.0,119.5,  2.1,        1629,    5.7,99999, 43.268073,-105.239585
           4,     1642,836.78, 20.1,15.84, -6.6,119.0,  2.3,        1634,    7.0,99999, 43.392037,-105.239606
           5,     1645,836.45, 19.9,15.58, -7.0,118.3,  2.4,        1636,    3.4,99999, 41.767556,-105.239658
           6,     1648,836.15, 19.8,16.08, -6.6,117.7,  2.6,        1641,    3.0,99999, 40.519360,-105.239700
           7,     1650,835.79, 19.7,16.40, -6.4,117.3,  2.8,        1645,    2.0,99999, 40.038233,-105.239726
           8,     1655,835.37, 19.6,16.24, -6.6,117.0,  3.0,        1650,    4.8,99999, 40.038279,-105.239746
           9,     1660,834.94, 19.5,15.75, -7.1,116.7,  3.2,        1655,    5.2,99999, 40.038311,-105.239776
          10,     1665,834.51, 19.4,15.26, -7.6,116.5,  3.3,        1661,    4.7,99999, 40.038321,-105.239820
