Metadata
    Sounding ID                                  	ce01d50e-f8f7-4bf6-9287-3a0ec1f6b0a7
    Release point latitude                       	40.037949°S
    Release point longitude                      	105.240997°W
    Release point height from sea level          	1609 m
    Balloon release date and time                	2017-08-11T19:47:01
    Surface pressure                             	843.4 hPa
    Surface temperature                          	22.3 °C
    Surface relative humidity                    	53.0 %
    Surface wind speed                           	0.8 m/s
    Surface wind direction                       	143.0°
    Sonde type                                   	RS41-SGP
    Sonde serial number                          	M3910687
    Software version                             	MW41 2.5.0
    Comments                                     	25 ft^2
    STD level heights                            	104, 805, 1542, 3189, 5893, 7586, 9663, 10911, 12388, 14205, 16689, 18860
    P correction (Pref - P)                      	2.44 hPa
    U correction (Uref1 - U1)                    	0.4 %Rh
    T difference (Tu - T)                        	0.28 °C 
    Tu temperature                               	20.0 °C
    RS41 calculation version                     	1.3
    Uref1 humidity                               	0 %Rh
    Height and pressure in messages is based on  	P Sensor
    Station name                                 	Boulder, NCAR EOL

Elapsed time,HeightMSL,     P, Temp,    RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,   Pc,       Lat,        Lon
           s,        m,   hPa,   °C,     %,   °C,    °,  m/s,           m,    m/s,  hPa,         °,          °
           0,     1609,843.43, 22.3, 53.00, 12.3,143.0,  0.8,        1609,    0.0,99999,-40.037949,-105.240997
           1,     1629,841.48, 21.8, 61.32, 14.1, 76.4,  0.5,        1633,   15.3,99999, 19.929577,-105.240879
           3,     1630,841.41, 21.8, 59.79, 13.7, 55.6,  0.7,        1636,    0.4,99999, 43.403639,-105.240830
           4,     1633,841.16, 21.7, 61.10, 13.9, 59.6,  0.8,        1639,    2.6,99999, 43.057076,-105.240834
           5,     1638,840.65, 21.6, 63.45, 14.4, 64.1,  0.9,        1641,    5.2,99999, 41.482954,-105.240843
           6,     1644,839.66, 21.5, 65.33, 14.7, 67.9,  0.9,        1648,    6.4,99999, 40.387017,-105.240849
           7,     1653,839.05, 21.3, 66.35, 14.8, 70.7,  1.0,        1653,    8.8,99999, 40.037382,-105.240851
           8,     1660,838.39, 21.1, 66.14, 14.6, 73.2,  1.1,        1659,    6.6,99999, 40.037384,-105.240852
           9,     1669,837.70, 20.9, 65.61, 14.3, 75.4,  1.2,        1668,    9.7,99999, 40.037382,-105.240845
