AVAPS-T02 STA 144635127 170831 103932.54
AVAPS-T02 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T02 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T02 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T02 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-T02 LAU 144635127 170831 104333.25
AVAPS-D02 A00 144635127 170831 104333.00   63.00 -69.30 999.00 132.10  14.00  -2.00 -115.516861  21.746993 19333.33   0 999.00 999.00   0  0.00 19417.50
AVAPS-D02 P00 144635127 170831 104323.25   65.83 -13.13   0.10 190.01 176.44   0.30 -115.520313  21.728718 99999.00  13   0.10   0.10  13  8.00 19382.52
AVAPS-D02 P10 144635127 170831 104323.50 9999.00  99.00 999.00 190.02 176.43   0.27  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104323.75   65.80 -13.13   0.10 190.02 176.43   0.20 -115.520165  21.729500 99999.00  13   0.10   0.10  13  8.00 19382.65
AVAPS-D02 P10 144635127 170831 104324.00 9999.00  99.00 999.00 190.02 176.44   0.12  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104324.25   65.80 -13.13   0.10 190.02 176.43   0.04 -115.520018  21.730282 99999.00  13   0.10   0.10  13  8.00 19382.69
AVAPS-D02 P10 144635127 170831 104324.50 9999.00  99.00 999.00 190.02 176.43  -0.01  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104324.75   65.84 -13.13   0.10 190.02 176.43  -0.07 -115.519870  21.731065 99999.00  13   0.10   0.10  13  8.00 19382.65
AVAPS-D02 P10 144635127 170831 104325.00 9999.00  99.00 999.00 190.02 176.43  -0.12  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104325.25   65.83 -13.14   0.10 190.02 176.44  -0.20 -115.519722  21.731847 99999.00  13   0.10   0.10  13  8.00 19382.57
AVAPS-D02 P10 144635127 170831 104325.50 9999.00  99.00 999.00 190.02 176.44  -0.25  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104325.75   65.85 -13.13   0.10 190.03 176.45  -0.28 -115.519573  21.732628 99999.00  13   0.10   0.10  13  8.00 19382.44
AVAPS-D02 P10 144635127 170831 104326.00 9999.00  99.00 999.00 190.02 176.44  -0.30  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104326.25   65.83 -13.13   0.10 190.03 176.46  -0.34 -115.519425  21.733412 99999.00  13   0.10   0.10  13  8.00 19382.28
AVAPS-D02 P10 144635127 170831 104326.50 9999.00  99.00 999.00 190.02 176.45  -0.35  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104326.75   65.83 -13.13   0.10 190.03 176.46  -0.37 -115.519278  21.734193 99999.00  13   0.10   0.10  13  8.00 19382.11
AVAPS-D02 P10 144635127 170831 104327.00 9999.00  99.00 999.00 190.03 176.48  -0.46  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104327.25   65.83 -13.12   0.10 190.03 176.47  -0.50 -115.519130  21.734975 99999.00  13   0.10   0.10  13  8.00 19381.87
AVAPS-D02 P10 144635127 170831 104327.50 9999.00  99.00 999.00 190.03 176.48  -0.55  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104327.75   65.83 -13.12   0.10 190.04 176.50  -0.64 -115.518982  21.735758 99999.00  13   0.10   0.10  13  8.00 19381.56
AVAPS-D02 P10 144635127 170831 104328.00 9999.00  99.00 999.00 190.03 176.49  -0.71  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104328.25   65.82 -13.10   0.10 190.03 176.51  -0.80 -115.518833  21.736540 99999.00  13   0.10   0.10  13  8.00 19381.19
AVAPS-D02 P10 144635127 170831 104328.50 9999.00  99.00 999.00 190.03 176.51  -0.87  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104328.75   65.86 -13.09   0.10 190.03 176.53  -0.97 -115.518685  21.737323 99999.00  13   0.10   0.10  13  8.00 19380.72
AVAPS-D02 P10 144635127 170831 104329.00 9999.00  99.00 999.00 190.03 176.54  -1.01  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104329.25   65.86 -13.13   0.10 190.03 176.55  -1.08 -115.518537  21.738105 99999.00  13   0.10   0.10  13  8.00 19380.19
AVAPS-D02 P10 144635127 170831 104329.50 9999.00  99.00 999.00 190.03 176.57  -1.14  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104329.75   65.90 -13.12   0.10 190.03 176.58  -1.19 -115.518388  21.738888 99999.00  13   0.10   0.10  13  8.00 19379.60
AVAPS-D02 P10 144635127 170831 104330.00 9999.00  99.00 999.00 190.03 176.60  -1.27  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104330.25   65.91 -13.12   0.10 190.03 176.61  -1.29 -115.518242  21.739672 99999.00  13   0.10   0.10  13  8.00 19378.96
AVAPS-D02 P10 144635127 170831 104330.50 9999.00  99.00 999.00 190.02 176.63  -1.32  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104330.75   65.91 -13.12   0.10 190.02 176.65  -1.36 -115.518093  21.740453 99999.00  13   0.10   0.10  13  8.00 19378.27
AVAPS-D02 P10 144635127 170831 104331.00 9999.00  99.00 999.00 190.02 176.67  -1.35  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104331.25   65.91 -13.13   0.10 190.02 176.68  -1.42 -115.517945  21.741237 99999.00  13   0.10   0.10  13  8.00 19377.58
AVAPS-D02 P10 144635127 170831 104331.50 9999.00  99.00 999.00 190.02 176.70  -1.43  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104331.75   65.90 -13.13   0.10 190.02 176.72  -1.45 -115.517797  21.742020 99999.00  13   0.10   0.10  13  8.00 19376.86
AVAPS-D02 P10 144635127 170831 104332.00 9999.00  99.00 999.00 190.02 176.75  -1.48  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 P11 144635127 170831 104332.25 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P11 144635127 170831 104332.50 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 P00 144635127 170831 104332.75   65.92 -13.09   0.10 190.03 176.83  -1.18 -115.517278  21.744763 99999.00  13   0.10   0.10  13  8.00 19374.06
AVAPS-D02 P10 144635127 170831 104333.00 9999.00  99.00 999.00 190.62 175.41  -1.12  999.000000  99.000000 99999.00   9 999.00 999.00   9 99.00 99999.00
AVAPS-D02 S11 144635127 170831 104333.25 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 S11 144635127 170831 104333.50 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 S11 144635127 170831 104333.75 9999.00  99.00 999.00 999.00 999.00  99.00  999.000000  99.000000 99999.00   0 999.00 999.00   0 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104334.00   62.18 -18.02   0.10 190.36 174.84  -1.19 -115.517125  21.745538 99999.00   9   0.10   0.10   9 10.00 19373.43
AVAPS-D02 S10 144635127 170831 104334.25 9999.00  99.00 999.00 190.58 173.60  -1.73  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104334.50   63.15 -23.78   0.10 191.07 165.30  -3.04 -115.516977  21.746267 99999.00  13   0.10   0.10  13  9.30 19371.58
AVAPS-D02 S10 144635127 170831 104334.75 9999.00  99.00 999.00 190.93 154.55  -4.77  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104335.00   63.77 -28.65   0.10 191.00 149.61  -6.78 -115.516858  21.746895 99999.00  13   0.10   0.10  13  9.30 19366.73
AVAPS-D02 S10 144635127 170831 104335.25 9999.00  99.00 999.00 189.88 142.68  -9.49  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104335.50   63.05 -32.70   0.10 189.65 137.33 -11.23 -115.516772  21.747480 99999.00  13   0.10   0.10  13  9.30 19358.83
AVAPS-D02 S10 144635127 170831 104335.75 9999.00  99.00 999.00 189.57 131.84 -13.03  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104336.00   63.10 -36.00   0.10 190.08 129.70 -14.55 -115.516675  21.748042 99999.00  13   0.10   0.10  13  9.30 19349.28
AVAPS-D02 S10 144635127 170831 104336.25 9999.00  99.00 999.00 190.82 126.78 -16.33  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104336.50   64.41 -38.37   0.10 192.39 119.24 -18.06 -115.516558  21.748560 99999.00  13   0.10   0.10  13  9.30 19337.37
AVAPS-D02 S10 144635127 170831 104336.75 9999.00  99.00 999.00 194.10 121.45 -17.96  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104337.00   64.22 -40.48   0.10 194.77 121.54 -17.98 -115.516408  21.749088 99999.00  13   0.10   0.10  13 29.30 19328.92
AVAPS-D02 S10 144635127 170831 104337.25 9999.00  99.00 999.00 196.61 109.75 -17.46  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104337.50   64.84 -42.42   0.10 196.09 116.91 -19.45 -115.516257  21.749558 99999.00  13   0.10   0.10  13 26.50 19318.04
AVAPS-D02 S10 144635127 170831 104337.75 9999.00  99.00 999.00 198.47 102.34 -19.85  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104338.00   65.17 -44.04   0.10 197.94 100.01 -22.32 -115.516118  21.749928 19383.17  13   0.10   0.10  13  9.60 19343.97
AVAPS-D02 S10 144635127 170831 104338.25 9999.00  99.00 999.00 195.56  99.00 -25.24  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104338.50   65.29 -45.64   0.10 198.51  95.62 -26.28 -115.515992  21.750330 19370.63  13   0.10   0.10  13 12.60 19324.94
AVAPS-D02 S10 144635127 170831 104338.75 9999.00  99.00 999.00 199.85  95.05 -28.36  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104339.00   65.79 -47.12   0.10 202.08 102.25 -28.54 -115.515815  21.750747 19318.98  13   0.10   0.10  13 31.30 19306.86
AVAPS-D02 S10 144635127 170831 104339.25 9999.00  99.00 999.00 198.51 106.86 -28.40  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104339.50   66.38 -48.80   0.10 196.91  83.00 -29.49 -115.515732  21.751100 19258.02  12   0.10   0.10  12 11.10 19289.50
AVAPS-D02 S10 144635127 170831 104339.75 9999.00  99.00 999.00 196.05  77.74 -31.08  999.000000  99.000000 99999.00  12 999.00 999.00  12 99.00 99999.00
AVAPS-D02 S00 144635127 170831 104340.00   66.07 -50.18   0.10 193.58  77.73 -33.27 -115.515665  21.751413 19289.43  12   0.10   0.10  12 11.10 19265.93
AVAPS-D02 S10 144635127 170831 104340.25 9999.00  99.00 999.00 195.28  76.16 -34.17  999.000000  99.000000 99999.00  13 999.00 999.00  13 99.00 99999.00
