FileFormat,CSV
Year,2019
Month,07
Day,14
Hour,13
Minute,24
Second,57
ST ID,Nan
Launch Site,Nan
Launch Latitude,Nan
Launch Longitude,Nan
Launch Altitude,Nan
Station P (hPa),Nan
Station T (deg C),Nan
Station RH (%),Nan
Station WD (deg),Nan
Station WS (m/s),Nan
Cloud fraction (1~10),Nan
rain (0/1),Nan
Fields,time,Pressure,Temperature,RH,Latitude,Longitude,Direction,Speed
Units,sec,mb,deg C,%,deg,deg,deg,m/s
Data,0,1004.61875,36.36300499088244,54.78013690172493,121.44207,24.99771,57.00999999999999,0.3472222222222222
Data,1,1004.577109,36.390747301542795,54.586262799711925,121.44207,24.99771,57.00999999999999,0.09444444444444444
Data,10,1001.4475,36.330170773491176,54.23801991806154,121.44218,24.99792,138.62,7.833333333333332
Data,11,1001.2438279999999,36.30948982574555,54.24089964965113,121.44212,24.99779,19.789999999999964,10.566666666666666
Data,12,1000.442578,36.25652288781596,54.348843470298654,121.44213,24.99783,19.789999999999964,3.5
Data,13,999.594531,36.21241627602674,54.3600910417757,121.44218,24.99795,214.69,10.655555555555557
Data,14,998.705234,36.14919850913088,54.469339215076104,121.44221,24.99804,203.72,10.472222222222225
Data,15,997.990937,36.06766797636421,54.57672901615518,121.44226,24.99795,218.07,7.022222222222222
Data,16,997.138515,35.985273559242444,54.68587132426387,121.44232,24.99785,218.07,4.108333333333333
Data,17,996.260625,35.912422836364044,54.795199511144865,121.44239,24.9978,218.07,1.2777777777777777
Data,17,994.9759369999999,35.82732194473348,54.909867862012426,121.4425,24.99753,345.9,6.772222222222222
Data,19,994.057578,35.71597206030506,55.117534381351845,121.44292,24.99766,250.19,26.24444444444445
Data,20,993.231484,35.6428939394467,55.129048811093575,121.4431,24.99753,250.19,6.7138888888888895
Data,21,992.787968,35.56360834152524,55.33029536569721,121.4431,24.99749,250.19,2.4722222222222223
Data,22,992.044687,35.463044941866116,55.53564107091383,121.44302,24.99751,195.84,4.922222222222222
Data,23,991.088281,35.361150452542674,55.74373152263236,121.44301000000002,24.99756,242.1,5.602777777777778
Data,24,990.170625,35.260050177003215,56.048560128306704,121.44305,24.99761,269.11,11.313888888888883
Data,24,989.144296,35.15772089502001,56.25760529716614,121.44319,24.99767,266.98,17.0
Data,25,988.513281,35.04871358976953,56.55881253634443,121.44335,24.99773,258.37,19.702777777777786
