FileFormat,CSV
Year,2019
Month,07
Day,14
Hour,13
Minute,24
Second,57
Pressure,,"units=mb"
Temperature,,"units=deg C"
RH,,"units=%"
Speed,,"units=m/s"
Direction,,"units=deg"
Latitude,,"units=deg"
Longitude,,"units=deg"
Altitude,,"units=m"
GpsAltitude,,"units=m"
Ascending,"true"
Comments,""
DataType,""
EquipmentType,"0"
PlatformType,""
PlatformId,""
Project,""
Flight,""
PtuWindTimeDiff,"0"
RadiationCorr,"0"
TrackingType,"19"
SondeId,""
SondeModel,""
Operator,""
LaunchObsSource,"unknown"
LaunchObsTime,"unknown"
SvnRevision,"V3.4.6"
SvnLastChangedDate,"Fri Apr 30 16:17:27 2021 -0600"
Agency,""
AltInterpSpan,"60"
AspenVersion,"Aspen V3.4.6"
BlendLength,"4"
CabinTemp,"25"
ChuteArea,"676"
ConfigSetName,"internal"
DatasetDOI,""
DiscardBadCrcData,"1"
DoQC,"1"
DragCoef,"0.61"
DropSondeMass,"400"
DropsondeHitSfc,"1"
Flight,""
GPSAltBuddySlope,"50"
GPSAltQCDev,"50"
GPSAltQCWL,"30"
GPSPosBuddySlope,"0.001"
GPSPosQCDev,"20"
GPSPosQCWL,"30"
IgnoreLaunchAlt,"0"
IgnoreLaunchLat,"0"
IgnoreLaunchLon,"0"
IgnoreLaunchPres,"0"
IgnoreLaunchRH,"0"
IgnoreLaunchTdry,"0"
IgnoreLaunchWdir,"0"
IgnoreLaunchWspd,"0"
ObsNum,"99"
PlatformId,""
PlatformType,""
PosInterpSpan,"60"
PresBuddySlope,"1.5"
PresEquilTimeOverride,"0"
PresMonoCheck,"1"
PresOffset,"0"
PresOutlier,"999"
PresQCDev,"1.5"
PresQCWL,"30"
PresSmoothWL,"10"
ProcessingTime,"21 Jun 2021 02:52 UTC"
Project,""
QCDisclaimer,""
RHBuddySlope,"3"
RHEquilTimeOverride,"0"
RHOffset,"0"
RHOutlier,"999"
RHQCDev,"20"
RHQCWL,"20"
RHSmoothWL,"10"
RHThreshold,"0"
RHchoice,"0"
ReportObservedPos,"1"
SetHtsMissing,"0"
SfcAltOverride,"0"
SfcAltUnknown,"0"
SfcAltitude,"-999"
SondeId,""
SoundingDescription,"L3pr.csv "
TdryBuddySlope,"0.5"
TdryDynCor,"1"
TdryDynCorWL,"20"
TdryEquilTimeOverride,"0"
TdryOffset,"0"
TdryOutlier,"999"
TdryQCDev,"0.8"
TdryQCWL,"20"
TdrySmoothWL,"10"
UseIgnoredLaunch,"1"
UseTheoryVentRate,"0"
WindBuddySlope,"1.5"
WindDisableW,"0"
WindDynCor,"1"
WindDynCorWL,"10"
WindEquilTime,"10"
WindErrorHigh,"999"
WindErrorLow,"999"
WindOutlier,"999"
WindQCDev,"999"
WindQCWL,"10"
WindSats,"0"
WindSmoothWL,"10"
WindVVPresWL,"5"
WindVVdelta,"2.5"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,Altitude,GPS Altitude,Dewpoint,Uwnd,Vwnd,Ascent
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,m,deg C,m/s,m/s,m/s
Data,0.0,1004.62,36.41,54.78,0.35,31.11,,,,,26.11,-0.18,-0.30,1.47
Data,1.0,1004.52,36.42,54.63,0.71,91.45,,,,,26.08,-0.71,0.02,1.52
Data,10.0,1001.62,36.22,54.23,7.37,150.80,,,,,25.77,-3.60,6.44,5.13
Data,11.0,1001.05,36.17,54.26,,,,,,,25.74,,,5.87
Data,12.0,1000.38,36.11,54.32,,,,,,,25.70,,,6.65
Data,13.0,999.62,36.04,54.39,8.86,195.62,,,,,25.65,2.39,8.53,7.47
Data,14.0,998.77,35.96,54.48,8.94,203.58,,,,,25.60,3.58,8.20,8.16
Data,15.0,997.84,35.86,54.58,7.72,208.06,,,,,25.55,3.63,6.81,8.54
Data,16.0,996.85,35.76,54.70,5.64,211.57,,,,,25.49,2.95,4.81,8.61
Data,17.0,995.87,35.65,54.82,3.85,218.13,,,,,25.43,2.38,3.03,8.32
Data,19.0,994.15,35.45,55.05,,,,,,,25.31,,,7.51
Data,20.0,993.41,35.36,55.19,3.31,231.95,,,,,25.26,2.61,2.04,7.49
Data,21.0,992.66,35.27,55.35,,,,,,,25.22,,,7.93
Data,22.0,991.81,35.16,55.57,4.92,242.86,,,,,25.19,4.38,2.25,8.83
Data,23.0,990.80,35.05,55.84,6.41,251.96,,,,,25.16,6.09,1.99,9.71
