Metadata
    Sounding ID                                  	5ca539ed-87f0-42b9-9ea1-66c5748cecf9
    Release point latitude                       	40.121220°N
    Release point longitude                      	113.128677°W
    Release point height from sea level          	1315 m
    Balloon release date and time                	2017-11-01T09:00:43
    Balloon release time                         	09:00:43
    Balloon release date                         	01/11/17
    Surface pressure                             	863.89 hPa
    Surface temperature                          	1.10 °C
    Surface relative humidity                    	57.50 %
    Surface wind speed                           	1.10 m/s
    Surface wind direction                       	131.00°
    Sonde type                                   	RS41-SGP
    Sonde serial number                          	N1540115
    System trademark and model                   	MW41
    Software version                             	MW41 2.5.0
    Sonde software version                       	2.2.13
    Comments                                     	20 cu. ft., clear and calm, operator: Isabel. Launch detect may have been bad, I heard the launch detect noise as I was still filling the balloon but when I got back to the computer after the launch it was showing the sonde as not launched. About 9:02 it recognized 9:00 as the launch time, which I think is the correct time but I'm not sure.
    STD level heights                            	54, 738, 1449, 3049, 5708, 7387, 9421, 10634, 12053
    P correction (Pref - P)                      	0.17 hPa
    U correction (Uref1 - U1)                    	0.20 %Rh
    T difference (Tu - T)                        	-0.08 °C 
    T in-built check air temperature             	21.18 °C
    Tu temperature                               	21.10 °C
    RS41 calculation version                     	1.3
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	P Sensor
    Station name                                 	IDEAL_ISS2
    Reason for termination                       	ManualStop
    Terminating altitude                         	12065 m
    Average ascent rate                          	3.5 m/s
    T difference (Tu - T)                        	-0.08 °C 
    P correction (Pref - P)                      	0.17 hPa
    U correction (Uref1 - U1)                    	0.20 %Rh
    Tracked satellite average count              	10.5
    Surface pressure                             	863.70 hPa
    Surface temperature                          	1.10 °C
    Surface humidity                             	57.50 %Rh
    Surface wind direction                       	131.00°
    Surface wind speed                           	1.10 m/s
    STD level heights                            	54, 738, 1449, 3049, 5708, 7387, 9421, 10634, 12053
    T temperature                                	21.18 °C
    P pressure                                   	863.56 hPa
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	863.73 hPa
    Tref temperature                             	/////
    Uref humidity                                	Desiccant 0 %Rh
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,     P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,   Pc,      Lat,        Lon, VirT,PotTemp,          KeyFlags
           s,        m,   hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,  hPa,        °,          °,   °C,     °C,                  
           0,     1315,863.89,  1.1,57.50, -6.3,131.0,  1.1,        1315,    0.0,99999,40.121220,-113.128677,  1.6,   12.9,TUdfv             
           2,     1321,863.27,  2.8,54.28, -5.5,170.3,  1.5,        1324,    3.1,99999,40.121128,-113.128719,  3.3,   14.7,                  
           3,     1326,862.70,  5.4,50.96, -3.9,172.9,  1.6,        1330,    5.3,99999,40.121154,-113.128727,  5.9,   17.4,                  
           4,     1332,862.10,  7.0,47.48, -3.4,173.0,  1.7,        1336,    5.7,99999,40.121194,-113.128729,  7.6,   19.2,T                 
           5,     1338,861.43,  7.4,45.19, -3.7,172.6,  1.7,        1341,    6.4,99999,40.121228,-113.128726,  7.9,   19.6,T                 
           6,     1343,860.97,  7.3,44.60, -3.9,172.3,  1.8,        1347,    4.4,99999,40.121255,-113.128714,  7.9,   19.7,                  
           7,     1347,860.48,  7.3,44.91, -3.8,172.3,  1.9,        1352,    4.5,99999,40.121287,-113.128699,  7.9,   19.7,                  
           8,     1352,859.95,  7.4,45.17, -3.7,172.4,  1.9,        1356,    5.1,99999,40.121337,-113.128697,  8.0,   19.8,                  
           9,     1357,859.43,  7.5,45.06, -3.7,172.5,  2.0,        1361,    4.7,99999,40.121397,-113.128713,  8.0,   19.9,                  
          10,     1364,858.91,  7.5,44.54, -3.8,172.6,  2.0,        1365,    6.5,99999,40.121447,-113.128746,  8.1,   20.1,                  
          11,     1368,858.39,  7.7,43.79, -3.8,172.8,  2.1,        1370,    4.6,99999,40.121469,-113.128780,  8.3,   20.3,                  
          12,     1373,857.89,  7.8,43.33, -3.9,172.9,  2.1,        1374,    4.4,99999,40.121465,-113.128800,  8.4,   20.5,                  
          13,     1377,857.38,  7.8,43.18, -3.9,173.1,  2.1,        1378,    4.1,99999,40.121455,-113.128797,  8.4,   20.5,                  
          14,     1382,856.88,  7.8,43.15, -3.9,173.3,  2.2,        1383,    5.3,99999,40.121462,-113.128778,  8.4,   20.5,                  
          15,     1386,856.37,  7.8,43.17, -4.0,173.4,  2.2,        1387,    4.4,99999,40.121492,-113.128761,  8.3,   20.5,                  
          16,     1391,855.85,  7.8,43.17, -3.9,173.5,  2.2,        1392,    4.6,99999,40.121531,-113.128766,  8.4,   20.6,                  
