duration,time,P,T,RH,WS,WD,LON,LAT,GPS_Z,IF
-0.0,2021-09-05 14:00:27.000001,1000.415468,33.2,62.2,1.7222222222222223,55.90999999999997,121.76483,24.81727,116.46,0.0
0.0,2021-09-05 14:00:27.000001,1000.824843,33.35,61.8,3.8499999999999996,59.49000000000001,121.76488,24.81731,112.68,1.0
3.0,2021-09-05 14:00:30.000001,1000.2836710000001,33.13,62.4,3.0527777777777776,40.539999999999964,121.76481000000001,24.81726,118.49,1.0
4.0,2021-09-05 14:00:31.000001,1000.1190619999999,33.11,62.5,3.2444444444444445,53.80000000000001,121.76478999999999,24.817239999999998,120.55,1.0
5.0,2021-09-05 14:00:32.000001,999.8614060000001,33.06,62.7,1.5472222222222223,59.08000000000004,121.76477,24.817239999999998,122.61,1.0
6.0,2021-09-05 14:00:33.000001,999.674843,32.99,63.0,2.725,34.89999999999998,121.76475,24.81723,124.36,1.0
7.0,2021-09-05 14:00:34.000001,999.492031,32.94,63.3,2.5611111111111113,62.15999999999997,121.76473,24.817220000000002,126.26,1.0
8.0,2021-09-05 14:00:35.000001,999.280781,32.9,63.5,4.141666666666667,63.52999999999997,121.7647,24.81721,128.49,1.0
9.0,2021-09-05 14:00:36.000001,999.0109369999999,32.83,63.5,1.988888888888889,62.43000000000001,121.76468,24.8172,131.18,1.0
10.0,2021-09-05 14:00:37.000001,998.7765619999999,32.79,63.7,4.8388888888888895,68.43,121.76463999999999,24.81719,134.18,1.0
11.0,2021-09-05 14:00:38.000001,998.570156,32.75,63.8,1.0611111111111111,70.47000000000003,121.76462,24.81718,136.39,1.0
12.0,2021-09-05 14:00:39.000001,998.3024210000001,32.71,63.9,2.436111111111111,74.59000000000003,121.7646,24.81718,137.77,1.0
13.0,2021-09-05 14:00:40.000001,998.0100779999999,32.64,64.1,3.2916666666666665,71.75999999999999,121.76456999999999,24.81717,140.08,1.0
14.0,2021-09-05 14:00:41.000001,997.723906,32.59,64.3,2.9555555555555557,60.30000000000001,121.76455,24.81715,142.78,1.0
15.0,2021-09-05 14:00:42.000001,997.4644529999999,32.55,64.4,1.7333333333333334,56.48000000000002,121.76453000000001,24.81714,145.48,1.0
16.0,2021-09-05 14:00:43.000001,997.149843,32.5,64.6,1.8138888888888889,65.88,121.76451000000002,24.81713,147.8,1.0
17.0,2021-09-05 14:00:44.000001,996.887265,32.46,64.8,2.7138888888888886,92.83999999999997,121.76449,24.81713,150.24,1.0
18.0,2021-09-05 14:00:45.000001,996.583046,32.4,65.0,3.3833333333333333,85.06,121.76446000000001,24.81713,153.0,1.0
