Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/09/05 10:34:39.000000,2,0,35.07,56.3,973.320234,1.4688172043010752,-65.0,24.82324,121.73001,406.39,0.003228967691949771,4,9,0.6,0.0,80.64493632416186
2021/09/05 10:34:40.000000,2,1,35.11,56.2,973.3225,1.4666666666666668,-67.0,24.82324,121.73,405.4,0.004191862459020091,4,9,0.36,0.0,77.3061008254074
2021/09/05 10:34:41.000000,2,2,35.17,56.0,973.285156,1.4580645161290322,-64.0,24.82325,121.73001,401.99,0,4,9,0.25,0.0,0
2021/09/05 10:34:42.000000,2,3,35.22,55.9,973.287421,1.4580645161290322,-62.0,24.82324,121.73001,401.52,0.003228967691949771,4,9,0.12,0.0,77.63574636478386
2021/09/05 10:34:43.000000,2,4,35.26,55.7,973.34,1.4580645161290322,-63.0,24.82325,121.73001,404.68,0,4,10,0.59,0.0,0
2021/09/05 10:34:44.000000,2,5,35.29,55.6,973.338125,1.4666666666666668,-65.0,24.82324,121.73,405.03,0.004191862459020091,4,9,0.6,0.0,77.05719308566437
2021/09/05 10:34:45.000000,2,6,35.35,55.5,973.4054679999999,1.4666666666666668,-71.0,24.82324,121.73001,404.18,0.003228967691949771,4,10,0.01,0.0,79.48113854347298
2021/09/05 10:34:46.000000,2,7,35.41,55.2,973.3801559999999,1.4666666666666668,-71.0,24.82325,121.73001,405.02,0,4,9,0.84,0.0,0
2021/09/05 10:34:47.000000,2,8,35.43,55.1,972.792656,1.4666666666666668,-70.0,24.82325,121.73,403.99,0,4,10,6.4,0.0,0
2021/09/05 10:34:48.000000,2,9,35.46,55.4,972.794531,1.4645161290322581,-73.0,24.82326,121.73001,401.59,0.0032289674620087886,4,9,5.65,0.0,77.6924403724453
2021/09/05 10:34:49.000000,2,10,35.49,55.4,973.408593,1.4645161290322581,-78.0,24.82326,121.73002,398.03,0.0023070150548898834,4,9,0.66,0.0,78.4011034674736
2021/09/05 10:34:50.000000,2,11,35.55,55.0,973.4034369999999,1.4559139784946238,-71.0,24.82326,121.73001,396.83,0.0032289674620087886,4,9,2.25,0.0,72.1716740691422
