duration,time,P,T,Td,RH,U,V,WS,WD,dZ,geoALT,LON,LAT,GPS_Z,q,rad
-0.0,2021-09-05 14:00:27.000001,1000.4154679999999,33.2,24.99285115191107,62.2,-1.4262724072878998,-0.9652960182893272,1.7222222222222223,55.90999999999997,0.0,116.3467630877542,121.76483,24.81727,116.46,19.067000136477144,1101.6908465795007
0.0,2021-09-05 14:00:27.000001,1000.824843,33.35,25.025794980871975,61.8,-3.316931175879377,-1.9546016408668678,3.85,59.49000000000001,-3.666763087754191,112.68,121.76488,24.81731,112.68,19.096516103489545,1101.690056850124
3.0,2021-09-05 14:00:30.000001,1000.283671,33.13,24.98077343142423,62.4,-1.9842406948058446,-2.3199657380164576,3.0527777777777776,40.539999999999964,4.846477631088689,117.5264776310887,121.76481,24.81726,118.49,19.055862053593366,1101.6911284142795
4.0,2021-09-05 14:00:31.000001,1000.119062,33.11,24.98878851372289,62.5,-2.6181379016221134,-1.9161872771668684,3.2444444444444445,53.80000000000001,1.4742667938768648,119.00074442496556,121.76479,24.81724,120.55,19.06813250174757,1101.6914670100855
5.0,2021-09-05 14:00:32.000001,999.861406,33.06,24.995258916755883,62.7,-1.327339654754374,-0.7950258145839113,1.5472222222222225,59.08000000000004,2.307185753499823,121.30793017846538,121.76477,24.81724,122.61,19.08046492496669,1101.6916920834697
6.0,2021-09-05 14:00:33.000001,999.674843,32.99,25.009328509346517,63.0,-1.5590975051390312,-2.2349138617560294,2.725,34.899999999999984,1.6693460620674756,122.97727624053286,121.76475,24.81723,124.36,19.100126807097194,1101.69197391788
7.0,2021-09-05 14:00:34.000001,999.492031,32.94,25.041857379624354,63.3,-2.2646757162964963,-1.1960493398993808,2.561111111111112,62.15999999999997,1.6360684813062818,124.61334472183914,121.76473,24.81722,126.26,19.14076323983232,1101.6922557521677
8.0,2021-09-05 14:00:35.000001,999.280781,32.9,25.057035488372648,63.5,-3.7074869180793226,-1.84606162682844,4.141666666666667,63.52999999999997,1.8910828987401374,126.50442762057928,121.7647,24.81721,128.49,19.162188630872716,1101.6926501228158
9.0,2021-09-05 14:00:36.000001,999.010937,32.83,24.99095764274887,63.5,-1.763042677522892,-0.9205213357541433,1.9888888888888892,62.43000000000001,2.4144678952201417,128.91889551579942,121.76468,24.8172,131.18,19.092107228088306,1101.692931956804
10.0,2021-09-05 14:00:37.000001,998.776562,32.79,25.00593349460254,63.7,-4.500017183676025,-1.7789578481888895,4.8388888888888895,68.43,2.0979827791476,131.01687829494702,121.76464,24.81719,134.18,19.113702140893963,1101.6934388633272
11.0,2021-09-05 14:00:38.000001,998.570156,32.75,24.9944649355579,63.8,-1.0000617609734803,-0.35472984701329846,1.0611111111111111,70.47000000000003,1.847259639586099,132.86413793453312,121.76462,24.81718,136.39,19.104642110035744,1101.693720696962
12.0,2021-09-05 14:00:39.000001,998.302421,32.71,24.982945199252462,63.9,-2.3485305810800807,-0.6473341142027589,2.436111111111111,74.59000000000003,2.396858551410247,135.26099648594337,121.7646,24.81718,137.77,19.09670214291592,1101.6939457693868
13.0,2021-09-05 14:00:40.000001,998.010078,32.64,24.969203995686684,64.1,-3.1262728233930526,-1.0302852411630838,3.2916666666666665,71.75999999999998,2.6150073010227857,137.87600378696615,121.76457,24.81717,140.08,19.086754234979946,1101.6943401389026
14.0,2021-09-05 14:00:41.000001,997.723906,32.59,24.974177462017764,64.3,-2.5672886982284324,-1.4643556200335597,2.955555555555556,60.30000000000001,2.561070751771325,140.43707453873748,121.76455,24.81715,142.78,19.097969379136835,1101.6946787331954
15.0,2021-09-05 14:00:42.000001,997.464453,32.55,24.962411545968983,64.4,-1.4450680554521596,-0.9571952567559867,1.7333333333333334,56.48000000000002,2.322386803581253,142.75946134231873,121.76453,24.81714,145.48,19.089600745672396,1101.6949605662846
16.0,2021-09-05 14:00:43.000001,997.1498429999999,32.5,24.96711091707524,64.6,-1.6555211293735759,-0.7412440161189888,1.8138888888888889,65.88,2.8159360197932983,145.57539736211203,121.76451000000002,24.81713,147.8,19.101056867794153,1101.6952423992507
17.0,2021-09-05 14:00:44.000001,996.8872650000001,32.46,24.981097000209793,64.8,-2.710555664416313,0.1344652049238365,2.713888888888889,92.83999999999996,2.350394832306705,147.92579219441873,121.76449,24.81713,150.24,19.12209598808104,1101.6954674710755
18.0,2021-09-05 14:00:45.000001,996.5830460000001,32.4,24.975977421690228,65.0,-3.370765674825287,-0.29134723246337807,3.3833333333333333,85.06,2.7214406496381685,150.6472328440569,121.76446,24.81713,153.0,19.12219596327081,1101.695805078576
18.0,2021-09-05 14:00:45.000001,995.96,32.31,24.967954652979063,65.3,-3.1988129509732826,0.3638931650220891,3.2194444444444437,96.49,5.577501907446305,156.2247347515032,121.76441,24.81713,159.21,19.1251634331806,1101.6963677571161
19.0,2021-09-05 14:00:46.000001,996.297265,32.36,24.989618395813714,65.2,-1.7025184364746326,-0.029717569850151965,1.7027777777777775,89.0,-3.019048211219342,153.20568654028386,121.76444,24.81713,155.44,19.143315217747535,1101.6960301500865
21.0,2021-09-05 14:00:48.000001,995.6125,32.25,24.93676215670653,65.4,-6.1700637404760865,-0.7597748896263111,6.216666666666666,82.98000000000002,6.128455442773827,159.3341419830577,121.76436,24.81713,161.96,19.096386749371884,1101.6969304348706
22.0,2021-09-05 14:00:49.000001,995.286953,32.2,24.914990614716068,65.5,-0.9617363344625655,-0.1220071876518182,0.9694444444444444,82.76999999999998,2.913857040417497,162.2479990234752,121.76433,24.817120000000006,164.48,19.077931179493266,1101.6973248023103
23.0,2021-09-05 14:00:50.000001,994.9311710000001,32.17,24.912125393753364,65.6,-5.486387578212641,-1.163165559760003,5.6083333333333325,78.02999999999997,3.1887368058167738,165.43673582929196,121.7643,24.81711,167.2,19.081547602447237,1101.6977191694884
24.0,2021-09-05 14:00:51.000001,994.574062,32.1,24.87128944759641,65.7,-5.5503150190747865,-0.9796691512051343,5.636111111111112,79.99000000000002,3.1938363333555344,168.6305721626475,121.76424,24.8171,170.6,19.04207691627704,1101.6984511419137
25.0,2021-09-05 14:00:52.000001,994.163593,32.05,24.849360094377843,65.8,-3.963942482202576,-0.9567818992476547,4.0777777777777775,76.43,3.6766227374222638,172.30719490006976,121.7642,24.81709,174.02,19.025119932808675,1101.6989580433337
26.0,2021-09-05 14:00:53.000001,993.768125,32.04,24.814400447308035,65.7,-4.150024922792628,-1.6741917871618057,4.475,68.02999999999997,3.5504562136056848,175.85765111367544,121.76416,24.81707,177.71,18.9930311787394,1101.6995217054414
27.0,2021-09-05 14:00:54.000001,993.296484,31.96,24.738547432885476,65.7,-6.28679189963125,-0.853359783076781,6.344444444444443,82.26999999999998,4.220833626522904,180.07848474019835,121.7641,24.81707,181.78,18.916324040497503,1101.7001969142661
28.0,2021-09-05 14:00:55.000001,992.8479679999999,31.91,24.742010596200387,65.9,-4.865496864306211,-1.636475289925742,5.133333333333334,71.40999999999997,4.019792337110346,184.0982770773087,121.76405,24.81705,185.67,18.928887971950587,1101.7008731098238
29.0,2021-09-05 14:00:56.000001,992.371093,31.87,24.729446989032137,66.0,-6.859803714677001,1.5145025573116855,7.025,102.45,4.277772184340819,188.3760492616495,121.76399,24.81705,190.13,18.923859259456492,1101.7015483166833
29.0,2021-09-05 14:00:56.000001,991.4892179999999,31.78,24.719945445457736,66.3,-3.2556564532116203,0.7894308447619277,3.35,103.63,7.908866895707348,196.28491615735686,121.76392,24.81704,197.48,18.93013504965164,1101.7023928178585
30.0,2021-09-05 14:00:57.000001,991.899531,31.84,24.70098511754351,66.0,-3.638364616729648,0.21042391587386028,3.6444444444444435,93.31,-3.6753302918181987,192.60958586553866,121.76395,24.81704,194.38,18.900750167124688,1101.7020552152028
32.0,2021-09-05 14:00:59.000001,991.078906,31.74,24.73238274555063,66.5,-4.193301082410642,-0.7726412421323774,4.263888888888888,79.56,7.35645227554798,199.96603814108664,121.76388,24.81703,200.65,18.95213737007409,1101.7028997155642
33.0,2021-09-05 14:01:00.000001,990.648906,31.72,24.738540845005883,66.6,-4.453027025839029,-1.0493690042817128,4.574999999999998,76.74000000000002,3.8649076061169865,203.83094574720363,121.76384,24.81702,204.39,18.967384707139864,1101.7034066128065
33.0,2021-09-05 14:01:00.000001,989.795156,31.65,24.722230695453987,66.8,-4.396813346549755,-0.5227317141561737,4.427777777777777,83.22000000000003,7.667294887140912,211.49824063434454,121.76377,24.817,213.13,18.96541434650134,1101.7043078721786
34.0,2021-09-05 14:01:01.000001,990.227187,31.67,24.69104927374282,66.6,-3.6913139989311547,-1.1229145436790802,3.858333333333333,73.08000000000004,-3.8851425246410827,207.61309810970346,121.76381,24.817,208.67,18.92180668878401,1101.703857736981
36.0,2021-09-05 14:01:03.000001,989.343437,31.61,24.734255423318615,67.0,-3.0589159918351623,-1.0646286627096828,3.238888888888889,70.81,7.942161119280172,215.55525922898363,121.76373,24.81699,217.24,18.98780167097429,1101.7048147681464
37.0,2021-09-05 14:01:04.000001,988.9467960000001,31.56,24.736611788439507,67.2,-5.638774032687598,-1.9250879251086523,5.958333333333332,71.14999999999998,3.557802128324397,219.11306135730803,121.76369,24.81697,221.08,18.998208452687003,1101.7053784248922
38.0,2021-09-05 14:01:05.000001,988.433906,31.51,24.763622725209757,67.5,-2.9823425197098556,-0.9146402227684811,3.1194444444444445,72.94999999999997,4.606263295364073,223.7193246526721,121.76365,24.81696,224.91,19.03887925865037,1101.7058853199355
39.0,2021-09-05 14:01:06.000001,987.998906,31.49,24.769377960390013,67.6,-4.872082790374028,-0.33129100227091085,4.883333333333333,86.11000000000001,3.9158796394405044,227.6352042921126,121.76361,24.81696,229.18,19.053858496801993,1101.7063354532672
40.0,2021-09-05 14:01:07.000001,987.585546,31.46,24.79029099073702,67.8,-4.699586692245959,-0.8608399478949945,4.777777777777779,79.62,3.7179158174027407,231.35312010951534,121.76357,24.81695,233.12,19.085728605082426,1101.70684234738
41.0,2021-09-05 14:01:08.000001,987.175468,31.43,24.81105530266177,68.0,-4.533017230325073,-1.073230745935118,4.658333333333333,76.68,3.68911726719071,235.04223737670605,121.76352,24.81694,237.0,19.11741904846334,1101.7074617740507
42.0,2021-09-05 14:01:09.000001,986.790625,31.38,24.788043339715884,68.1,-2.1520255377289086,-0.6847302603266825,2.2583333333333333,72.35000000000002,3.453809463368543,238.4960468400746,121.76349,24.81692,241.04,19.09873863236953,1101.7079128954715
43.0,2021-09-05 14:01:10.000001,986.420312,31.36,24.793563320205255,68.2,-6.413797349182834,-0.6277481669794736,6.444444444444443,84.41000000000003,3.335533957590428,241.83158079766503,121.76345,24.81692,244.53,19.112257934490614,1101.7083630269376
44.0,2021-09-05 14:01:11.000001,986.121875,31.32,24.8289571990165,68.5,-4.650539843063525,-0.7174484333375081,4.705555555555557,81.23000000000002,2.6783761011373315,244.50995689880236,121.76339,24.81691,247.22,19.158587952549865,1101.7090949845074
45.0,2021-09-05 14:01:12.000001,985.821562,31.29,24.84919478861536,68.7,-4.104628249289219,-1.4486895174097785,4.352777777777779,70.56,2.6998511729121333,247.2098080717145,121.76335,24.81689,249.71,19.187667718233,1101.709658637351
46.0,2021-09-05 14:01:13.000001,985.625625,31.25,24.85974769802578,68.9,-2.6322002538230618,-0.9789064995620967,2.808333333333333,69.60000000000002,1.7525100475416195,248.9623181192561,121.76333,24.81688,251.95,19.20367890208373,1101.709940463589
47.0,2021-09-05 14:01:14.000001,985.396875,31.23,24.864967296928754,69.0,-3.9666593563585315,0.007615448624605934,3.9666666666666655,90.11,2.0579889358749313,251.02030705513104,121.76328999999998,24.81688,253.75,19.214174483381964,1101.7103905931897
