Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/09/05 15:29:07.000000,2,0,-18.66,0.0,271.457851,0.9526881720430108,-112.0,24.88435,121.39759,10563.88,37.87821612395933,8,1,59.42,266.91,15.513793679456814
2021/09/05 15:29:08.000000,2,1,-18.65,0.0,271.346835,0.9526881720430108,-112.0,24.88433,121.39742,10565.84,37.89462361246482,8,0,62.04,262.05,15.510151497981473
2021/09/05 15:29:27.000000,2,2,-18.91,0.0,269.63371,0.9311827956989248,-118.0,24.88406,121.39434,10612.24,38.19400001846218,8,-1,57.56,265.42,15.459046793569472
2021/09/05 15:29:10.000000,2,3,-18.67,0.0,271.134531,0.9376344086021506,-126.0,24.88429,121.39709,10571.23,37.92645036328767,8,-8,60.08,266.78,15.505322780550083
2021/09/05 15:27:48.000000,2,4,-17.81,0.0,278.491601,0.9806451612903226,-114.0,24.88549,121.41071,10380.34,36.6052624615616,8,3,61.36,263.83,15.760276816843142
2021/09/05 15:27:49.000000,2,5,-17.84,0.0,278.418164,0.9655913978494625,-120.0,24.88547,121.41055,10382.48,36.62062229098396,8,-1,56.01,260.45,15.757096030965124
2021/09/05 15:27:59.000000,2,6,-17.99,0.0,277.52023399999996,0.956989247311828,-115.0,24.88532,121.40871,10405.78,36.799127338527214,7,0,63.82,265.87,15.718052654041857
2021/09/05 15:27:22.000000,2,7,-17.15,0.0,280.71289,0.9763440860215055,-114.0,24.8858,121.41501,10320.08,36.18750462485711,8,3,60.66,263.33,15.844771609175034
2021/09/05 15:27:38.000000,2,8,-17.63,0.0,279.36789,0.9806451612903226,-115.0,24.88562,121.41221,10360.19,36.459986031225206,8,0,58.95,263.49,15.790620694236281
2021/09/05 15:27:39.000000,2,9,-17.68,0.0,279.28531200000003,0.9827956989247313,-120.0,24.8856,121.41204,10362.35,36.476327197470304,8,-1,65.42,267.8,15.787040946944925
2021/09/05 15:27:25.000000,2,10,-17.25,0.0,280.447226,0.9913978494623656,-120.0,24.88578,121.41452,10327.02,36.23544244092401,8,-1,59.68,259.98,15.835017277400672
2021/09/05 15:28:30.000000,2,11,-18.4,0.0,274.576445,0.956989247311828,-128.0,24.88486,121.4034,10479.33,37.31411611620169,8,-5,62.71,269.44,15.616439146945021
2021/09/05 15:28:31.000000,2,12,-18.41,0.0,274.489609,0.9505376344086023,-122.0,24.88485,121.40323,10481.63,37.33071926879814,8,-1,60.59,263.74,15.613106719219322
